timestamp,energy_kwh,power_kw,voltage,temperature,hour,day_of_week,is_weekend
2026-08-04 23:00:00,1.258,1.258,228.4,18.5,23,Tuesday,0
2026-08-05 00:00:00,0.68,0.68,228.5,19.2,0,Wednesday,0
2026-08-05 01:00:00,0.683,0.683,229.8,17.8,1,Wednesday,0
2026-08-05 02:00:00,0.675,0.675,229.9,18.3,2,Wednesday,0
2026-08-05 03:00:00,0.795,0.795,229.3,18.5,3,Wednesday,0
2026-08-05 04:00:00,0.685,0.685,229.7,18.3,4,Wednesday,0
2026-08-05 05:00:00,0.728,0.728,228.8,20.5,5,Wednesday,0
2026-08-05 06:00:00,1.763,1.763,227.5,22.5,6,Wednesday,0
2026-08-05 07:00:00,1.793,1.793,228.1,23.0,7,Wednesday,0
2026-08-05 08:00:00,1.875,1.875,228.2,25.7,8,Wednesday,0
2026-08-05 09:00:00,0.965,0.965,227.9,26.8,9,Wednesday,0
2026-08-05 10:00:00,0.9,0.9,228.5,28.8,10,Wednesday,0
2026-08-05 11:00:00,1.025,1.025,230.7,30.4,11,Wednesday,0
2026-08-05 12:00:00,0.993,0.993,229.6,30.3,12,Wednesday,0
2026-08-05 13:00:00,1.14,1.14,228.7,32.4,13,Wednesday,0
2026-08-05 14:00:00,1.018,1.018,228.3,32.0,14,Wednesday,0
2026-08-05 15:00:00,1.168,1.168,227.7,31.2,15,Wednesday,0
2026-08-05 16:00:00,1.064,1.064,228.6,30.4,16,Wednesday,0
2026-08-05 17:00:00,2.584,2.584,225.6,29.5,17,Wednesday,0
2026-08-05 18:00:00,2.609,2.609,224.7,28.7,18,Wednesday,0
2026-08-05 19:00:00,2.534,2.534,223.7,27.0,19,Wednesday,0
2026-08-05 20:00:00,2.633,2.633,225.6,24.4,20,Wednesday,0
2026-08-05 21:00:00,2.719,2.719,224.9,24.4,21,Wednesday,0
2026-08-05 22:00:00,1.19,1.19,227.8,21.5,22,Wednesday,0
2026-08-05 23:00:00,1.296,1.296,226.7,19.8,23,Wednesday,0
2026-08-06 00:00:00,0.853,0.853,228.3,19.4,0,Thursday,0
2026-08-06 01:00:00,0.785,0.785,228.1,18.6,1,Thursday,0
2026-08-06 02:00:00,0.731,0.731,228.8,18.2,2,Thursday,0
2026-08-06 03:00:00,0.732,0.732,229.3,17.6,3,Thursday,0
2026-08-06 04:00:00,0.807,0.807,231.1,20.1,4,Thursday,0
2026-08-06 05:00:00,0.8,0.8,228.8,19.4,5,Thursday,0
2026-08-06 06:00:00,1.745,1.745,225.9,23.3,6,Thursday,0
2026-08-06 07:00:00,1.64,1.64,226.4,22.7,7,Thursday,0
2026-08-06 08:00:00,1.822,1.822,227.1,24.4,8,Thursday,0
2026-08-06 09:00:00,0.986,0.986,227.5,28.3,9,Thursday,0
2026-08-06 10:00:00,0.949,0.949,226.7,27.8,10,Thursday,0
2026-08-06 11:00:00,1.184,1.184,227.3,31.4,11,Thursday,0
2026-08-06 12:00:00,1.018,1.018,228.0,29.7,12,Thursday,0
2026-08-06 13:00:00,0.962,0.962,227.5,32.8,13,Thursday,0
2026-08-06 14:00:00,1.094,1.094,227.5,32.0,14,Thursday,0
2026-08-06 15:00:00,1.005,1.005,228.0,32.3,15,Thursday,0
2026-08-06 16:00:00,1.131,1.131,228.8,31.2,16,Thursday,0
2026-08-06 17:00:00,2.527,2.527,227.0,29.1,17,Thursday,0
2026-08-06 18:00:00,2.59,2.59,227.2,28.8,18,Thursday,0
2026-08-06 19:00:00,2.744,2.744,225.1,26.9,19,Thursday,0
2026-08-06 20:00:00,2.79,2.79,224.7,26.6,20,Thursday,0
2026-08-06 21:00:00,2.702,2.702,226.8,24.0,21,Thursday,0
2026-08-06 22:00:00,1.325,1.325,228.9,20.7,22,Thursday,0
2026-08-06 23:00:00,1.175,1.175,225.4,18.6,23,Thursday,0
2026-08-07 00:00:00,0.787,0.787,230.4,18.7,0,Friday,0
2026-08-07 01:00:00,0.86,0.86,226.8,18.3,1,Friday,0
2026-08-07 02:00:00,0.726,0.726,229.2,16.6,2,Friday,0
2026-08-07 03:00:00,0.565,0.565,228.9,18.2,3,Friday,0
2026-08-07 04:00:00,0.784,0.784,229.0,17.9,4,Friday,0
2026-08-07 05:00:00,0.689,0.689,227.5,19.3,5,Friday,0
2026-08-07 06:00:00,1.886,1.886,225.4,21.4,6,Friday,0
2026-08-07 07:00:00,1.768,1.768,225.9,23.6,7,Friday,0
2026-08-07 08:00:00,1.727,1.727,226.2,24.9,8,Friday,0
2026-08-07 09:00:00,1.067,1.067,228.1,25.9,9,Friday,0
2026-08-07 10:00:00,0.927,0.927,228.2,27.9,10,Friday,0
2026-08-07 11:00:00,0.959,0.959,229.2,29.8,11,Friday,0
2026-08-07 12:00:00,1.044,1.044,227.8,30.6,12,Friday,0
2026-08-07 13:00:00,0.789,0.789,230.2,29.9,13,Friday,0
2026-08-07 14:00:00,1.07,1.07,228.8,33.3,14,Friday,0
2026-08-07 15:00:00,1.336,1.336,228.9,32.0,15,Friday,0
2026-08-07 16:00:00,1.014,1.014,226.2,31.0,16,Friday,0
2026-08-07 17:00:00,2.589,2.589,223.6,30.1,17,Friday,0
2026-08-07 18:00:00,2.563,2.563,227.4,28.0,18,Friday,0
2026-08-07 19:00:00,2.649,2.649,227.0,27.5,19,Friday,0
2026-08-07 20:00:00,2.581,2.581,227.2,25.1,20,Friday,0
2026-08-07 21:00:00,2.567,2.567,225.2,23.6,21,Friday,0
2026-08-07 22:00:00,1.159,1.159,229.0,20.8,22,Friday,0
2026-08-07 23:00:00,1.158,1.158,228.6,21.6,23,Friday,0
2026-08-08 00:00:00,0.811,0.811,227.8,18.4,0,Saturday,1
2026-08-08 01:00:00,0.854,0.854,227.5,17.5,1,Saturday,1
2026-08-08 02:00:00,0.846,0.846,228.2,18.2,2,Saturday,1
2026-08-08 03:00:00,0.804,0.804,229.5,17.5,3,Saturday,1
2026-08-08 04:00:00,0.772,0.772,228.7,19.3,4,Saturday,1
2026-08-08 05:00:00,0.716,0.716,229.4,20.7,5,Saturday,1
2026-08-08 06:00:00,1.376,1.376,226.6,21.0,6,Saturday,1
2026-08-08 07:00:00,1.2,1.2,227.9,21.7,7,Saturday,1
2026-08-08 08:00:00,1.258,1.258,228.5,25.2,8,Saturday,1
2026-08-08 09:00:00,1.685,1.685,225.5,25.5,9,Saturday,1
2026-08-08 10:00:00,1.694,1.694,225.9,28.0,10,Saturday,1
2026-08-08 11:00:00,1.771,1.771,226.1,29.6,11,Saturday,1
2026-08-08 12:00:00,1.9,1.9,227.2,31.7,12,Saturday,1
2026-08-08 13:00:00,1.792,1.792,225.8,32.9,13,Saturday,1
2026-08-08 14:00:00,1.974,1.974,226.9,32.5,14,Saturday,1
2026-08-08 15:00:00,1.997,1.997,226.2,31.3,15,Saturday,1
2026-08-08 16:00:00,2.01,2.01,226.8,32.0,16,Saturday,1
2026-08-08 17:00:00,2.791,2.791,224.5,29.6,17,Saturday,1
2026-08-08 18:00:00,2.796,2.796,225.3,28.8,18,Saturday,1
2026-08-08 19:00:00,2.9,2.9,224.4,28.5,19,Saturday,1
2026-08-08 20:00:00,2.797,2.797,222.5,26.0,20,Saturday,1
2026-08-08 21:00:00,2.68,2.68,224.8,22.4,21,Saturday,1
2026-08-08 22:00:00,1.404,1.404,227.9,21.5,22,Saturday,1
2026-08-08 23:00:00,1.336,1.336,224.9,19.9,23,Saturday,1
2026-08-09 00:00:00,0.912,0.912,226.6,19.1,0,Sunday,1
2026-08-09 01:00:00,0.877,0.877,227.9,19.2,1,Sunday,1
2026-08-09 02:00:00,1.032,1.032,228.4,18.5,2,Sunday,1
2026-08-09 03:00:00,0.813,0.813,227.5,18.4,3,Sunday,1
2026-08-09 04:00:00,0.782,0.782,228.7,19.6,4,Sunday,1
2026-08-09 05:00:00,0.888,0.888,228.8,19.7,5,Sunday,1
2026-08-09 06:00:00,1.289,1.289,227.4,22.3,6,Sunday,1
2026-08-09 07:00:00,1.294,1.294,228.1,22.4,7,Sunday,1
2026-08-09 08:00:00,1.256,1.256,228.8,25.6,8,Sunday,1
2026-08-09 09:00:00,1.723,1.723,229.2,27.9,9,Sunday,1
2026-08-09 10:00:00,1.59,1.59,225.0,27.9,10,Sunday,1
2026-08-09 11:00:00,2.042,2.042,226.3,31.1,11,Sunday,1
2026-08-09 12:00:00,1.9,1.9,229.5,31.3,12,Sunday,1
2026-08-09 13:00:00,1.999,1.999,227.3,31.9,13,Sunday,1
2026-08-09 14:00:00,2.008,2.008,225.4,32.4,14,Sunday,1
2026-08-09 15:00:00,2.141,2.141,227.8,32.1,15,Sunday,1
2026-08-09 16:00:00,1.949,1.949,225.3,32.3,16,Sunday,1
2026-08-09 17:00:00,2.834,2.834,226.2,29.8,17,Sunday,1
2026-08-09 18:00:00,2.952,2.952,224.5,27.1,18,Sunday,1
2026-08-09 19:00:00,2.749,2.749,223.1,26.5,19,Sunday,1
2026-08-09 20:00:00,2.836,2.836,223.3,25.7,20,Sunday,1
2026-08-09 21:00:00,2.803,2.803,227.0,22.2,21,Sunday,1
2026-08-09 22:00:00,1.15,1.15,227.6,21.3,22,Sunday,1
2026-08-09 23:00:00,1.054,1.054,228.0,19.8,23,Sunday,1
2026-08-10 00:00:00,0.786,0.786,230.8,18.8,0,Monday,0
2026-08-10 01:00:00,0.708,0.708,227.4,19.1,1,Monday,0
2026-08-10 02:00:00,0.735,0.735,228.7,20.1,2,Monday,0
2026-08-10 03:00:00,0.746,0.746,228.5,18.2,3,Monday,0
2026-08-10 04:00:00,0.686,0.686,228.7,18.5,4,Monday,0
2026-08-10 05:00:00,0.673,0.673,228.9,19.6,5,Monday,0
2026-08-10 06:00:00,1.93,1.93,223.3,21.3,6,Monday,0
2026-08-10 07:00:00,1.91,1.91,224.1,24.1,7,Monday,0
2026-08-10 08:00:00,1.78,1.78,225.1,24.7,8,Monday,0
2026-08-10 09:00:00,0.821,0.821,230.6,26.2,9,Monday,0
2026-08-10 10:00:00,1.012,1.012,229.0,29.2,10,Monday,0
2026-08-10 11:00:00,0.868,0.868,229.0,29.0,11,Monday,0
2026-08-10 12:00:00,1.147,1.147,227.6,30.1,12,Monday,0
2026-08-10 13:00:00,1.147,1.147,228.5,31.5,13,Monday,0
2026-08-10 14:00:00,1.183,1.183,226.6,31.7,14,Monday,0
2026-08-10 15:00:00,1.137,1.137,227.6,32.3,15,Monday,0
2026-08-10 16:00:00,0.99,0.99,229.3,31.3,16,Monday,0
2026-08-10 17:00:00,2.608,2.608,226.6,29.8,17,Monday,0
2026-08-10 18:00:00,2.537,2.537,223.6,27.9,18,Monday,0
2026-08-10 19:00:00,2.548,2.548,227.5,27.3,19,Monday,0
2026-08-10 20:00:00,2.786,2.786,225.2,23.3,20,Monday,0
2026-08-10 21:00:00,2.606,2.606,225.8,23.1,21,Monday,0
2026-08-10 22:00:00,1.358,1.358,227.7,21.5,22,Monday,0
2026-08-10 23:00:00,1.241,1.241,227.7,20.2,23,Monday,0
2026-08-11 00:00:00,0.593,0.593,227.3,19.2,0,Tuesday,0
2026-08-11 01:00:00,0.744,0.744,228.4,18.8,1,Tuesday,0
2026-08-11 02:00:00,0.758,0.758,228.0,18.0,2,Tuesday,0
2026-08-11 03:00:00,0.746,0.746,227.5,17.6,3,Tuesday,0
2026-08-11 04:00:00,0.594,0.594,230.2,19.3,4,Tuesday,0
2026-08-11 05:00:00,0.75,0.75,229.8,20.4,5,Tuesday,0
2026-08-11 06:00:00,1.891,1.891,224.4,22.8,6,Tuesday,0
2026-08-11 07:00:00,1.76,1.76,226.9,22.2,7,Tuesday,0
2026-08-11 08:00:00,1.752,1.752,227.1,25.4,8,Tuesday,0
2026-08-11 09:00:00,0.861,0.861,226.8,26.2,9,Tuesday,0
2026-08-11 10:00:00,0.802,0.802,227.4,27.8,10,Tuesday,0
2026-08-11 11:00:00,1.014,1.014,231.3,30.8,11,Tuesday,0
2026-08-11 12:00:00,1.105,1.105,227.0,31.5,12,Tuesday,0
2026-08-11 13:00:00,1.044,1.044,228.3,32.3,13,Tuesday,0
2026-08-11 14:00:00,1.082,1.082,229.4,34.0,14,Tuesday,0
2026-08-11 15:00:00,1.087,1.087,230.2,31.2,15,Tuesday,0
2026-08-11 16:00:00,1.235,1.235,228.6,30.6,16,Tuesday,0
2026-08-11 17:00:00,2.701,2.701,226.3,29.5,17,Tuesday,0
2026-08-11 18:00:00,2.524,2.524,224.6,29.0,18,Tuesday,0
2026-08-11 19:00:00,2.644,2.644,226.0,26.6,19,Tuesday,0
2026-08-11 20:00:00,2.543,2.543,225.9,25.1,20,Tuesday,0
2026-08-11 21:00:00,2.695,2.695,226.4,23.7,21,Tuesday,0
2026-08-11 22:00:00,1.307,1.307,227.6,22.2,22,Tuesday,0
2026-08-11 23:00:00,1.304,1.304,227.9,18.7,23,Tuesday,0
2026-08-12 00:00:00,0.628,0.628,227.6,19.2,0,Wednesday,0
2026-08-12 01:00:00,0.727,0.727,229.5,19.1,1,Wednesday,0
2026-08-12 02:00:00,0.732,0.732,229.8,18.0,2,Wednesday,0
2026-08-12 03:00:00,0.738,0.738,228.1,17.8,3,Wednesday,0
2026-08-12 04:00:00,0.705,0.705,229.0,18.6,4,Wednesday,0
2026-08-12 05:00:00,0.83,0.83,227.4,19.7,5,Wednesday,0
2026-08-12 06:00:00,1.775,1.775,228.5,21.4,6,Wednesday,0
2026-08-12 07:00:00,1.893,1.893,224.8,23.3,7,Wednesday,0
2026-08-12 08:00:00,1.881,1.881,226.7,25.2,8,Wednesday,0
2026-08-12 09:00:00,0.869,0.869,230.1,27.7,9,Wednesday,0
2026-08-12 10:00:00,1.061,1.061,227.6,30.3,10,Wednesday,0
2026-08-12 11:00:00,1.216,1.216,227.2,31.1,11,Wednesday,0
2026-08-12 12:00:00,1.067,1.067,226.5,30.7,12,Wednesday,0
2026-08-12 13:00:00,1.01,1.01,227.3,31.0,13,Wednesday,0
2026-08-12 14:00:00,1.109,1.109,229.9,32.0,14,Wednesday,0
2026-08-12 15:00:00,1.169,1.169,227.6,31.0,15,Wednesday,0
2026-08-12 16:00:00,1.144,1.144,226.6,31.0,16,Wednesday,0
2026-08-12 17:00:00,2.663,2.663,225.8,30.3,17,Wednesday,0
2026-08-12 18:00:00,2.846,2.846,224.1,28.7,18,Wednesday,0
2026-08-12 19:00:00,2.6,2.6,224.7,26.4,19,Wednesday,0
2026-08-12 20:00:00,2.745,2.745,226.8,24.5,20,Wednesday,0
2026-08-12 21:00:00,2.583,2.583,225.9,22.7,21,Wednesday,0
2026-08-12 22:00:00,1.321,1.321,227.9,21.1,22,Wednesday,0
2026-08-12 23:00:00,1.394,1.394,229.6,18.8,23,Wednesday,0
2026-08-13 00:00:00,0.699,0.699,229.1,18.4,0,Thursday,0
2026-08-13 01:00:00,0.783,0.783,231.0,18.5,1,Thursday,0
2026-08-13 02:00:00,0.666,0.666,227.1,17.9,2,Thursday,0
2026-08-13 03:00:00,2.7626,2.7626,230.8,17.7,3,Thursday,0
2026-08-13 04:00:00,2.8424,2.8424,228.6,18.5,4,Thursday,0
2026-08-13 05:00:00,0.932,0.932,227.7,21.0,5,Thursday,0
2026-08-13 06:00:00,1.894,1.894,227.4,21.1,6,Thursday,0
2026-08-13 07:00:00,1.857,1.857,226.2,24.7,7,Thursday,0
2026-08-13 08:00:00,1.899,1.899,227.6,25.5,8,Thursday,0
2026-08-13 09:00:00,0.995,0.995,229.6,27.2,9,Thursday,0
2026-08-13 10:00:00,0.962,0.962,228.1,29.6,10,Thursday,0
2026-08-13 11:00:00,1.187,1.187,226.9,30.1,11,Thursday,0
2026-08-13 12:00:00,1.059,1.059,228.1,31.4,12,Thursday,0
2026-08-13 13:00:00,1.105,1.105,228.1,32.8,13,Thursday,0
2026-08-13 14:00:00,1.15,1.15,228.7,30.9,14,Thursday,0
2026-08-13 15:00:00,1.065,1.065,228.3,33.5,15,Thursday,0
2026-08-13 16:00:00,1.216,1.216,227.7,31.3,16,Thursday,0
2026-08-13 17:00:00,2.699,2.699,225.4,30.2,17,Thursday,0
2026-08-13 18:00:00,2.666,2.666,226.5,28.1,18,Thursday,0
2026-08-13 19:00:00,2.661,2.661,224.4,26.0,19,Thursday,0
2026-08-13 20:00:00,2.528,2.528,224.8,26.0,20,Thursday,0
2026-08-13 21:00:00,2.775,2.775,224.9,23.5,21,Thursday,0
2026-08-13 22:00:00,1.42,1.42,225.7,21.1,22,Thursday,0
2026-08-13 23:00:00,1.305,1.305,227.0,18.3,23,Thursday,0
2026-08-14 00:00:00,0.787,0.787,228.9,18.1,0,Friday,0
2026-08-14 01:00:00,0.628,0.628,229.9,17.8,1,Friday,0
2026-08-14 02:00:00,0.722,0.722,230.9,18.5,2,Friday,0
2026-08-14 03:00:00,0.608,0.608,228.1,17.4,3,Friday,0
2026-08-14 04:00:00,0.749,0.749,228.4,18.9,4,Friday,0
2026-08-14 05:00:00,0.63,0.63,230.6,20.3,5,Friday,0
2026-08-14 06:00:00,1.899,1.899,227.0,21.4,6,Friday,0
2026-08-14 07:00:00,1.856,1.856,227.2,23.6,7,Friday,0
2026-08-14 08:00:00,1.916,1.916,226.8,25.5,8,Friday,0
2026-08-14 09:00:00,0.903,0.903,230.1,27.4,9,Friday,0
2026-08-14 10:00:00,1.054,1.054,228.1,28.0,10,Friday,0
2026-08-14 11:00:00,0.92,0.92,227.5,28.8,11,Friday,0
2026-08-14 12:00:00,1.038,1.038,227.6,31.7,12,Friday,0
2026-08-14 13:00:00,1.054,1.054,225.2,30.2,13,Friday,0
2026-08-14 14:00:00,1.151,1.151,228.9,30.7,14,Friday,0
2026-08-14 15:00:00,1.013,1.013,228.1,32.1,15,Friday,0
2026-08-14 16:00:00,0.997,0.997,230.0,31.1,16,Friday,0
2026-08-14 17:00:00,2.632,2.632,225.3,30.7,17,Friday,0
2026-08-14 18:00:00,2.487,2.487,225.2,28.7,18,Friday,0
2026-08-14 19:00:00,2.57,2.57,225.0,26.3,19,Friday,0
2026-08-14 20:00:00,2.701,2.701,224.5,26.4,20,Friday,0
2026-08-14 21:00:00,2.762,2.762,226.1,23.6,21,Friday,0
2026-08-14 22:00:00,1.218,1.218,228.6,21.5,22,Friday,0
2026-08-14 23:00:00,1.342,1.342,228.3,20.4,23,Friday,0
2026-08-15 00:00:00,0.807,0.807,230.1,19.8,0,Saturday,1
2026-08-15 01:00:00,1.016,1.016,227.3,18.4,1,Saturday,1
2026-08-15 02:00:00,0.866,0.866,227.7,19.4,2,Saturday,1
2026-08-15 03:00:00,0.824,0.824,229.0,17.9,3,Saturday,1
2026-08-15 04:00:00,0.804,0.804,228.5,19.4,4,Saturday,1
2026-08-15 05:00:00,0.988,0.988,228.7,21.8,5,Saturday,1
2026-08-15 06:00:00,1.34,1.34,228.3,21.5,6,Saturday,1
2026-08-15 07:00:00,1.309,1.309,225.6,22.4,7,Saturday,1
2026-08-15 08:00:00,1.382,1.382,226.9,25.3,8,Saturday,1
2026-08-15 09:00:00,1.592,1.592,225.4,28.1,9,Saturday,1
2026-08-15 10:00:00,1.774,1.774,228.8,28.7,10,Saturday,1
2026-08-15 11:00:00,1.776,1.776,226.8,29.6,11,Saturday,1
2026-08-15 12:00:00,2.061,2.061,227.1,30.9,12,Saturday,1
2026-08-15 13:00:00,2.108,2.108,227.9,30.5,13,Saturday,1
2026-08-15 14:00:00,2.022,2.022,227.0,31.5,14,Saturday,1
2026-08-15 15:00:00,1.946,1.946,225.7,32.0,15,Saturday,1
2026-08-15 16:00:00,2.084,2.084,226.9,31.0,16,Saturday,1
2026-08-15 17:00:00,2.892,2.892,221.4,29.7,17,Saturday,1
2026-08-15 18:00:00,2.691,2.691,224.7,29.4,18,Saturday,1
2026-08-15 19:00:00,2.726,2.726,226.5,25.9,19,Saturday,1
2026-08-15 20:00:00,2.858,2.858,224.8,24.6,20,Saturday,1
2026-08-15 21:00:00,2.836,2.836,223.4,23.6,21,Saturday,1
2026-08-15 22:00:00,1.23,1.23,225.9,22.3,22,Saturday,1
2026-08-15 23:00:00,1.39,1.39,228.5,19.7,23,Saturday,1
2026-08-16 00:00:00,0.822,0.822,228.1,18.7,0,Sunday,1
2026-08-16 01:00:00,0.881,0.881,228.9,19.9,1,Sunday,1
2026-08-16 02:00:00,0.869,0.869,228.1,18.8,2,Sunday,1
2026-08-16 03:00:00,0.844,0.844,228.4,18.1,3,Sunday,1
2026-08-16 04:00:00,0.854,0.854,229.3,19.5,4,Sunday,1
2026-08-16 05:00:00,0.856,0.856,226.1,20.0,5,Sunday,1
